volcano_number,volcano_name,eruption_number,vei,start_year,end_year,latitude,longitude,decade,country,region,subregion,elevation,tectonic_settings,volcano_type
284110,Kita-Ioto,18388,0.0,1998-01-01,1998.0,25.424,141.284,1990.0,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",792.0,Subduction zone / Crustal thickness unknown,Stratovolcano
284080,Sumisujima,18351,0.0,1998-01-01,1999.0,31.44,140.051,1990.0,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",136.0,Subduction zone / Oceanic crust (< 15 km),Submarine Volcano
285020,Hokkaido-Komagatake,18581,2.0,1998-01-01,1998.0,42.063,140.677,1990.0,Japan,"Japan, Taiwan, Marianas",Hokkaido,1131.0,Subduction zone / Continental crust (>25 km),Stratovolcano
223020,Nyamuragira,14079,2.0,1998-01-01,1998.0,-1.408,29.2,1990.0,DR Congo,Africa and Red Sea,Africa (central),3058.0,Rift zone / Continental crust (>25 km),Shield Volcano
353060,"Azul, Cerro",11729,1.0,1998-01-01,1998.0,-0.92,-91.408,1990.0,Ecuador,South America,Galapagos Islands,1640.0,Rift zone / Oceanic crust (< 15 km),Shield Volcano
344100,Masaya,11035,1.0,1998-01-01,1998.0,11.985,-86.165,1990.0,Nicaragua,México and Central America,Nicaragua,594.0,Subduction zone / Continental crust (>25 km),Caldera
241040,Whakaari/White Island,14493,2.0,1998-01-01,1999.0,-37.52,177.18,1990.0,New Zealand,New Zealand to Fiji,New Zealand,294.0,Subduction zone / Continental crust (>25 km),Stratovolcano
312110,Chiginagak,20199,1.0,1998-01-01,1998.0,57.135,-156.99,1990.0,United States,Alaska,Alaska Peninsula,2221.0,Subduction zone / Continental crust (>25 km),Stratovolcano
352020,Guagua Pichincha,11496,3.0,1998-01-01,2001.0,-0.171,-78.598,1990.0,Ecuador,South America,Ecuador,4784.0,Subduction zone / Continental crust (>25 km),Stratovolcano
300260,Klyuchevskoy,19475,2.0,1998-01-01,1998.0,56.056,160.642,1990.0,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,4754.0,Subduction zone / Continental crust (>25 km),Stratovolcano
261170,Kerinci,15525,2.0,1998-01-01,1998.0,-1.697,101.264,1990.0,Indonesia,Indonesia,Sumatra,3800.0,Subduction zone / Continental crust (>25 km),Stratovolcano
264010,Batur,16205,1.0,1998-01-01,,-8.242,115.375,1990.0,Indonesia,Indonesia,Lesser Sunda Islands,1717.0,Subduction zone / Continental crust (>25 km),Caldera
300250,Bezymianny,19374,0.0,1998-01-01,1998.0,55.972,160.595,1990.0,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,2882.0,Subduction zone / Continental crust (>25 km),Stratovolcano
300270,Sheveluch,19587,3.0,1998-01-01,1998.0,56.653,161.36,1990.0,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,3283.0,Subduction zone / Continental crust (>25 km),Stratovolcano
284110,Kita-Ioto,18387,0.0,1998-01-01,1998.0,25.424,141.284,1990.0,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",792.0,Subduction zone / Crustal thickness unknown,Stratovolcano
311161,Korovin,19764,3.0,1998-01-01,1998.0,52.381,-174.166,1990.0,United States,Alaska,Aleutian Islands,1518.0,Subduction zone / Continental crust (>25 km),Stratovolcano
282060,Kikai,16998,2.0,1998-01-01,1999.0,30.793,130.305,1990.0,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,704.0,Subduction zone / Oceanic crust (< 15 km),Caldera
261030,Peuet Sague,15393,1.0,1998-01-01,1998.0,4.903,96.289,1990.0,Indonesia,Indonesia,Sumatra,2785.0,Subduction zone / Continental crust (>25 km),Complex Volcano
357110,Llaima,12072,2.0,1998-01-01,1998.0,-38.692,-71.729,1990.0,Chile,South America,Central Chile and Argentina,3125.0,Subduction zone / Continental crust (>25 km),Stratovolcano
283090,Niigata-Yakeyama,17551,1.0,1998-01-01,,36.921,138.036,1990.0,Japan,"Japan, Taiwan, Marianas",Honshu,2400.0,Subduction zone / Continental crust (>25 km),Other
241040,Whakaari/White Island,14492,1.0,1998-01-01,1998.0,-37.52,177.18,1990.0,New Zealand,New Zealand to Fiji,New Zealand,294.0,Subduction zone / Continental crust (>25 km),Stratovolcano
233020,"Fournaise, Piton de la",14376,1.0,1998-01-01,1998.0,-21.244,55.708,1990.0,France,Middle East and Indian Ocean,Indian Ocean (western),2632.0,Intraplate / Oceanic crust (< 15 km),Shield Volcano
357120,Villarrica,12179,1.0,1998-01-01,2002.0,-39.42,-71.93,1990.0,Chile,South America,Central Chile and Argentina,2847.0,Subduction zone / Continental crust (>25 km),Stratovolcano
345020,Rincon de la Vieja,11106,2.0,1998-01-01,1998.0,10.83,-85.324,1990.0,Costa Rica,México and Central America,Costa Rica,1916.0,Subduction zone / Continental crust (>25 km),Complex Volcano
331021,Axial Seamount,20713,0.0,1998-01-01,1998.0,45.95,-130.0,1990.0,Undersea Features,Hawaii and Pacific Ocean,Pacific Ocean (northern),-1410.0,Rift zone / Oceanic crust (< 15 km),Submarine Volcano
300250,Bezymianny,19373,3.0,1997-01-01,1997.0,55.972,160.595,1990.0,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,2882.0,Subduction zone / Continental crust (>25 km),Stratovolcano
341040,Colima,10475,3.0,1997-01-01,2011.0,19.514,-103.62,1990.0,Mexico,México and Central America,Mexico,3850.0,Subduction zone / Continental crust (>25 km),Stratovolcano
284080,Sumisujima,18350,0.0,1997-01-01,1997.0,31.44,140.051,1990.0,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",136.0,Subduction zone / Oceanic crust (< 15 km),Submarine Volcano
283090,Niigata-Yakeyama,17550,1.0,1997-01-01,1997.0,36.921,138.036,1990.0,Japan,"Japan, Taiwan, Marianas",Honshu,2400.0,Subduction zone / Continental crust (>25 km),Other
241100,Ruapehu,14667,1.0,1997-01-01,1997.0,-39.28,175.57,1990.0,New Zealand,New Zealand to Fiji,New Zealand,2797.0,Subduction zone / Continental crust (>25 km),Stratovolcano
